Animal,Error,Strategy,Region,I1,I2,Abs[Error],"Avg[I1,I2]",Relative Error
48,72.289755978,Cata,pm4,8539.9860252,8467.6962692,72.289755978,8503.8411472,0.0085008356
48,12.813086911,Cata,pm3,7010.8851778,6998.0720909,12.813086911,7004.4786344,0.0018292706
48,-88.13372306,Cata,postPM3,3603.9657126,3692.0994357,88.133723064,3648.0325742,0.0241592478
48,26.996811828,Cata,medialAxis,6438.0032537,6411.0064418,26.996811828,6424.5048478,0.0042021623
48,28.523086292,Cata,wholePharynx,6251.8142527,6223.2911664,28.523086292,6237.5527095,0.0045728008
49,144.67309602,Cata,prePM7,4604.4274072,4459.7543112,144.67309602,4532.0908592,0.031921932
49,30.949408877,Cata,pm7,10505.993242,10475.043833,30.949408877,10490.518537,0.0029502268
49,-131.5503385,Cata,pm6,6857.7729115,6989.32325,131.55033853,6923.5480807,0.0190004225
49,29.262620491,Cata,pm5,3941.2857587,3912.0231382,29.262620491,3926.6544485,0.0074523034
49,120.14046817,Cata,pm4,8754.0326135,8633.8921454,120.14046817,8693.9623795,0.0138188392
49,13.053300311,Cata,pm3,6982.5191087,6969.4658084,13.053300311,6975.9924586,0.0018711747
49,-66.89492373,Cata,postPM3,3724.082282,3790.9772057,66.894923734,3757.5297439,0.0178028993
49,24.598269796,Cata,medialAxis,6425.2765937,6400.6783239,24.598269796,6412.9774588,0.0038357019
49,22.891245591,Cata,wholePharynx,6242.6221032,6219.7308576,22.891245591,6231.1764804,0.0036736635
50,-134.8383051,Cata,prePM7,4447.580083,4582.4183882,134.83830511,4514.9992356,0.0298645245
50,-55.22861122,Cata,pm7,10529.352354,10584.580965,55.228611221,10556.96666,0.0052314849
50,3.1117822188,Cata,pm6,6965.1483414,6962.0365591,3.1117822188,6963.5924502,0.0004468645
50,-28.47035371,Cata,pm5,3942.5046759,3970.9750296,28.470353712,3956.7398528,0.007195407
50,-113.2060743,Cata,pm4,8529.9581152,8643.1641895,113.20607428,8586.5611524,0.0131840992
50,-49.68020559,Cata,pm3,6946.1188127,6995.7990183,49.680205594,6970.9589155,0.0071267391
50,0.0941352652,Cata,postPM3,3703.9475172,3703.8533819,0.0941352652,3703.9004496,0.0000254152
50,-56.19053817,Cata,medialAxis,6382.2592615,6438.4497997,56.190538165,6410.3545306,0.0087655898
50,-56.98274269,Cata,wholePharynx,6199.3105233,6256.2932659,56.982742686,6227.8018946,0.0091497359
51,119.94412537,Cata,prePM7,4650.3887358,4530.4446105,119.94412537,4590.4166731,0.0261292458
51,-111.2684598,Cata,pm7,10444.460635,10555.729095,111.2684598,10500.094865,0.0105969004
51,-84.27983053,Cata,pm6,6860.7415995,6945.02143,84.279830526,6902.8815148,0.0122093694
51,17.438726994,Cata,pm5,3946.6749442,3929.2362172,17.438726994,3937.9555807,0.0044283707
51,-102.146096,Cata,pm4,8483.3933718,8585.5394678,102.14609604,8534.4664198,0.0119686564
51,-86.49753552,Cata,pm3,6888.4301368,6974.9276723,86.497535522,6931.6789045,0.0124785837
51,-119.3573204,Cata,postPM3,3603.7748668,3723.1321873,119.35732044,3663.453527,0.0325805472
51,-52.89969991,Cata,medialAxis,6353.8561631,6406.755863,52.899699906,6380.306013,0.0082910913
51,-49.7802142,Cata,wholePharynx,6174.9977412,6224.7779554,49.780214199,6199.8878483,0.008029212
52,-579.7488407,Cata,prePM7,5852.0783386,6431.8271793,579.74884067,6141.952759,0.0943916151
52,292.10274901,Cata,pm7,10230.433849,9938.3311001,292.10274901,10084.382475,0.0289658539
52,90.618185713,Cata,pm6,6625.6349913,6535.0168056,90.618185713,6580.3258985,0.0137710787
52,141.5096828,Cata,pm5,3980.2900085,3838.7803257,141.5096828,3909.5351671,0.0361960378
52,-250.867825,Cata,pm4,8633.984049,8884.851874,250.86782504,8759.4179615,0.0286397825
52,-23.82754802,Cata,pm3,7031.9330719,7055.7606199,23.827548019,7043.8468459,0.0033827465
52,239.41249628,Cata,postPM3,3654.1016319,3414.6891356,239.41249628,3534.3953837,0.067737893
52,12.00937781,Cata,medialAxis,6470.6193771,6458.6099993,12.00937781,6464.6146882,0.0018577098
52,8.9081416577,Cata,wholePharynx,6293.5019039,6284.5937622,8.9081416577,6289.0478331,0.0014164532
53,-114.7480754,Cata,prePM7,4334.7110258,4449.4591012,114.74807538,4392.0850635,0.026126105
53,75.248761631,Cata,pm7,10464.304746,10389.055984,75.248761631,10426.680365,0.0072169434
53,-13.37664076,Cata,pm6,6939.0607594,6952.4374001,13.376640756,6945.7490798,0.0019258745
53,44.286730647,Cata,pm5,3917.6840881,3873.3973575,44.286730647,3895.5407228,0.0113685708
53,-128.5227228,Cata,pm4,8479.8705822,8608.393305,128.52272278,8544.1319436,0.0150422212
53,10.351521183,Cata,pm3,7069.1964098,7058.8448887,10.351521183,7064.0206493,0.0014653866
53,88.987438186,Cata,postPM3,3668.6070633,3579.6196251,88.987438186,3624.1133442,0.0245542647
53,-1.867956855,Cata,medialAxis,6395.3284964,6397.1964533,1.8679568552,6396.2624748,0.0002920388
53,-3.316676719,Cata,wholePharynx,6209.3013009,6212.6179776,3.3166767195,6210.9596392,0.0005340039
54,219.80458314,Cata,prePM7,4658.5687614,4438.7641782,219.80458314,4548.6664698,0.0483228622
54,-4.610116612,Cata,pm7,10516.200943,10520.81106,4.6101166121,10518.506001,0.0004382863
54,45.416286139,Cata,pm6,6980.1918818,6934.7755957,45.416286139,6957.4837388,0.0065276884
54,17.467873404,Cata,pm5,3949.4035704,3931.935697,17.467873404,3940.6696337,0.004432717
54,230.92034485,Cata,pm4,8694.6359695,8463.7156247,230.92034485,8579.1757971,0.0269163787
54,81.819463325,Cata,pm3,7098.4093029,7016.5898396,81.819463325,7057.4995712,0.0115932651
54,-11.64612959,Cata,postPM3,3638.2547049,3649.9008345,11.646129589,3644.0777697,0.0031959059
